CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
740101103,Le Vallon-Riante Colline,H,74010,Annecy
740101201,Taillefer-Le Levray-Les Romains,A,74010,Annecy
740101202,Sous-Aléry,H,74010,Annecy
740101203,Vert Bois-Le Pont Neuf,H,74010,Annecy
740101301,Meythet Nord-Est,H,74010,Annecy
740101302,Meythet Sud,H,74010,Annecy
740101303,Meythet Nord-Ouest,H,74010,Annecy
740101401,Le Cep,H,74010,Annecy
740101402,Champ Fleuri,H,74010,Annecy
740101403,Bois Gentil-Longiret,H,74010,Annecy
740101501,Seynod-Zone d'Activités,A,74010,Annecy
740101502,Bressis-Neigeos,H,74010,Annecy
740101503,Vieugy-Balmont,H,74010,Annecy
740101504,Croix Rouge-Césière,H,74010,Annecy
740101601,Pringy,H,74010,Annecy
740120101,Brouaz,H,74012,Annemasse
740120201,Centre,H,74012,Annemasse
740120202,Centre-Gare,H,74012,Annemasse
740120301,Romagny,H,74012,Annemasse
740120302,Zone Industrielle,H,74012,Annemasse
740120401,Château Rouge,H,74012,Annemasse
740120402,Beulet-Île-de-France,H,74012,Annemasse
740120403,Livron-Perrier,H,74012,Annemasse
740120404,Perrier Sud,H,74012,Annemasse
740120501,Vernand,H,74012,Annemasse
740130000,Anthy-sur-Léman (commune non irisée),Z,74013,Anthy-sur-Léman
740140000,Arâches-la-Frasse (commune non irisée),Z,74014,Arâches-la-Frasse
740150000,Arbusigny (commune non irisée),Z,74015,Arbusigny
740160000,Archamps (commune non irisée),Z,74016,Archamps
740180000,Arenthon (commune non irisée),Z,74018,Arenthon
740190000,Argonay (commune non irisée),Z,74019,Argonay
740200000,Armoy (commune non irisée),Z,74020,Armoy
740210000,Arthaz-Pont-Notre-Dame (commune non irisée),Z,74021,Arthaz-Pont-Notre-Dame
740240000,Ayse (commune non irisée),Z,74024,Ayse
740250000,Ballaison (commune non irisée),Z,74025,Ballaison
740260000,La Balme-de-Sillingy (commune non irisée),Z,74026,La Balme-de-Sillingy
740270000,La Balme-de-Thuy (commune non irisée),Z,74027,La Balme-de-Thuy
740290000,Bassy (commune non irisée),Z,74029,Bassy
740300000,La Baume (commune non irisée),Z,74030,La Baume
740310000,Beaumont (commune non irisée),Z,74031,Beaumont
740320000,Bellevaux (commune non irisée),Z,74032,Bellevaux
740330000,Bernex (commune non irisée),Z,74033,Bernex
740340000,Le Biot (commune non irisée),Z,74034,Le Biot
740350000,Bloye (commune non irisée),Z,74035,Bloye
740360000,Bluffy (commune non irisée),Z,74036,Bluffy
740370000,Boëge (commune non irisée),Z,74037,Boëge
740380000,Bogève (commune non irisée),Z,74038,Bogève
740400000,Bonne (commune non irisée),Z,74040,Bonne
740410000,Bonnevaux (commune non irisée),Z,74041,Bonnevaux
740420101,Bois Jolivet-Les Îles,H,74042,Bonneville
740420102,Centre,H,74042,Bonneville
740420103,La Côte d'Hyot-Saint-Étienne,H,74042,Bonneville
740420104,Tucinge-Le Bouchet-Bellerive,H,74042,Bonneville
740420105,Bénéry-Dessy-Pontchy-Thuet,H,74042,Bonneville
740430000,Bons-en-Chablais (commune non irisée),Z,74043,Bons-en-Chablais
740440000,Bossey (commune non irisée),Z,74044,Bossey
740450000,Le Bouchet-Mont-Charvin (commune non irisée),Z,74045,Le Bouchet-Mont-Charvin
740460000,Boussy (commune non irisée),Z,74046,Boussy
740480000,Brenthonne (commune non irisée),Z,74048,Brenthonne
740490000,Brizon (commune non irisée),Z,74049,Brizon
740500000,Burdignin (commune non irisée),Z,74050,Burdignin
740510000,Cercier (commune non irisée),Z,74051,Cercier
740520000,Cernex (commune non irisée),Z,74052,Cernex
740530000,Cervens (commune non irisée),Z,74053,Cervens
740540000,Chainaz-les-Frasses (commune non irisée),Z,74054,Chainaz-les-Frasses
